Continent/Country of Nationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,651,441,576,349,515,428,481,661,753,910
Angola,13,4,0,8,0,0,0,6,0,5
Armenia,87,29,9,4,0,15,8,3,10,49
Azerbaijan,77,78,30,38,18,16,10,3,15,18
Belarus,350,219,111,146,103,66,83,10,46,98
Bhutan,3,0,5320,13452,12363,14999,15070,9134,8434,5775
Bosnia-Herzegovina,16,0,0,0,0,0,0,0,0,0
Burma,1612,13896,18139,18202,16693,16972,14160,16299,14598,18386
Burundi,466,4545,2889,762,530,110,186,193,68,1186
Cambodia,9,15,8,15,9,5,6,30,44,0
Cameroon,29,5,0,4,6,0,7,0,5,8
Central African Republic,23,15,56,59,45,182,136,318,25,270
Chad,4,10,23,6,28,25,12,32,21,16
China,21,27,50,54,72,28,54,101,53,30
Colombia,115,54,94,57,123,46,126,230,252,521
Cote d'Ivoire,23,11,30,9,4,7,33,20,42,28
Cuba,3143,2922,4177,4800,4818,2920,1948,4205,4062,1527
Egypt,0,3,5,7,15,6,13,3,21,13
Equatorial Guinea,11,14,0,9,9,0,0,0,0,0
Eritrea,538,963,251,1571,2570,2032,1346,1824,1488,1596
Ethiopia,1271,1028,299,321,668,560,620,765,728,626
Gambia,6,13,6,10,10,7,0,11,0,3
Georgia,4,7,20,4,4,20,7,0,13,9
Haiti,0,0,0,0,18,0,0,0,4,0
Honduras,0,0,0,0,20,5,0,0,0,0
Indonesia,10,0,0,0,0,0,0,0,0,3
Iran,2792,5482,5270,5381,3543,2032,1758,2579,2846,3109
Iraq,202,1608,13822,18838,18016,9388,12163,19487,19769,12676
Jordan,0,3,0,0,7,3,3,13,7,0
Kazakhstan,124,45,62,52,46,53,7,11,24,58
Kenya,5,0,0,0,0,0,23,5,21,3
North Korea,9,22,37,25,8,23,22,17,8,15
Kuwait,0,24,0,7,40,5,3,12,12,4
Kyrgyzstan,15,17,25,46,27,30,49,19,8,17
Laos,830,117,59,14,36,211,21,0,0,0
Latvia,21,17,6,0,0,4,0,0,0,0
Liberia,2346,1606,992,385,244,121,69,94,31,12
Mauritania,88,62,26,16,74,3,0,0,4,0
Moldova,721,565,487,445,356,331,255,119,142,333
Nepal,0,3,4,7,0,10,47,34,47,26
Nigeria,15,20,76,3,0,0,0,0,4,4
Pakistan,20,30,104,67,59,54,274,158,240,159
Russia,6003,1773,426,495,326,165,197,125,139,281
Rwanda,112,202,108,111,230,74,157,139,45,173
Serbia,11,0,0,0,0,0,0,0,0,0
Sierra Leone,439,166,99,51,54,28,0,4,6,6
Somalia,10357,6969,2523,4189,4884,3161,4911,7608,9000,8858
South Sudan,0,0,0,0,0,0,0,17,57,79
Sri Lanka,6,0,0,33,118,69,55,92,57,89
Sudan,1848,705,375,683,558,334,1077,2160,1315,1578
Syria,27,17,24,25,25,29,31,36,105,1682
Togo,18,40,204,14,9,5,26,18,26,0
Uganda,20,38,42,8,30,10,18,15,5,67
Ukraine,2483,1605,1022,601,449,428,372,227,490,1451
Uzbekistan,527,190,134,152,185,96,140,51,69,43
Vietnam,3039,1500,1112,1486,873,79,41,69,67,22
Yemen,11,6,0,47,15,0,0,12,0,16
Zimbabwe,13,0,3,10,7,8,3,12,0,7
Congo,471,1054,924,1428,3328,1004,1965,2724,4570,7928
